,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
0,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2013,Manual,179045,1,Diesel,507599,11291,Zero downpayment,Hyderabad,Telangana
1,Maruti Swift,Maruti,ZDI ,2012,Manual,78819,2,Diesel,476699,10604,Zero downpayment,Hyderabad,Telangana
2,Honda Mobilio,Honda,1.5 V OPT I DTEC ,2014,Manual,97289,2,Diesel,494799,11007,Zero downpayment,Hyderabad,Telangana
3,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,45693,2,Petrol,331999,7385,Zero downpayment,Hyderabad,Telangana
4,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,40586,1,Petrol,620299,13798,Zero downpayment,Hyderabad,Telangana
5,Maruti Alto K10,Maruti,VXI ,2015,Manual,234695,1,Petrol,273299,6079,Zero downpayment,Hyderabad,Telangana
6,Skoda Octavia,Skoda,Style 1.4 TSI MT ,2017,Manual,47264,1,Petrol,1292899,28760,Zero downpayment,Hyderabad,Telangana
7,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,153631,1,Diesel,678999,15104,Zero downpayment,Hyderabad,Telangana
8,Honda City,Honda,V AT ,2010,Automatic,152381,1,Petrol,449699,10003,Zero downpayment,Hyderabad,Telangana
9,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,33367,1,Diesel,1069899,23799,Zero downpayment,Hyderabad,Telangana
10,Hyundai VENUE,Hyundai,1.5 SX CRDI MT ,2020,Manual,40139,1,Diesel,1042799,23196,Zero downpayment,Hyderabad,Telangana
11,Maruti Ciaz,Maruti,LPHA 1.5 AT VTVT SHVS ,2020,Manual,35019,1,Petrol,1083299,24097,Zero downpayment,Hyderabad,Telangana
12,Maruti Swift,Maruti,VDI ,2011,Manual,111043,1,Diesel,346399,7705,Zero downpayment,Hyderabad,Telangana
13,Mahindra XUV500,Mahindra,W11 ,2021,Automatic,14755,1,Diesel,2300999,51184,Zero downpayment,Hyderabad,Telangana
14,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,49094,1,Petrol,647799,14410,Zero downpayment,Hyderabad,Telangana
15,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2020,Automatic,5634,1,Petrol,1260699,28044,Zero downpayment,Hyderabad,Telangana
16,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,36933,2,Petrol,411199,9147,Zero downpayment,Hyderabad,Telangana
17,Maruti Alto K10,Maruti,LXI ,2011,Manual,86129,2,Petrol,211099,4696,Zero downpayment,Hyderabad,Telangana
18,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,51619,1,Diesel,811499,18051,Zero downpayment,Hyderabad,Telangana
19,Maruti Vitara Brezza,Maruti,ZDI ,2018,Manual,47763,1,Diesel,860499,19141,Zero downpayment,Hyderabad,Telangana
20,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,78088,1,Petrol,367299,8170,Zero downpayment,Hyderabad,Telangana
